iter	Passed	Remaining
439	1337	1702
440	1342	1701
441	1345	1699
442	1349	1696
443	1352	1693
444	1355	1690
445	1358	1687
446	1362	1685
447	1365	1682
448	1368	1679
449	1371	1676
450	1374	1673
451	1377	1670
452	1380	1667
453	1383	1664
454	1387	1661
455	1389	1658
456	1392	1654
457	1395	1651
458	1398	1648
459	1402	1645
460	1405	1642
461	1408	1639
462	1411	1636
463	1414	1633
464	1417	1630
465	1420	1627
466	1423	1624
467	1426	1621
468	1429	1618
469	1432	1615
470	1436	1612
471	1439	1609
472	1442	1606
473	1445	1603
474	1448	1600
475	1451	1597
476	1454	1594
477	1457	1591
478	1460	1588
479	1463	1585
480	1466	1582
481	1469	1579
482	1472	1576
483	1475	1572
484	1478	1569
485	1481	1567
486	1485	1564
487	1488	1561
488	1491	1558
489	1494	1555
490	1497	1552
491	1500	1549
492	1503	1546
493	1506	1542
494	1509	1539
495	1512	1536
496	1515	1533
497	1518	1530
498	1521	1527
499	1524	1524
500	1527	1521
501	1530	1518
502	1533	1515
503	1536	1512
504	1539	1509
505	1542	1506
506	1545	1503
507	1548	1500
508	1551	1496
509	1555	1494
510	1558	1491
511	1561	1488
512	1564	1485
513	1567	1482
514	1570	1479
515	1574	1476
516	1577	1473
517	1580	1470
518	1583	1467
519	1586	1464
520	1589	1461
521	1593	1458
522	1596	1455
523	1599	1452
524	1602	1449
525	1605	1446
526	1608	1443
527	1611	1440
528	1614	1437
529	1617	1434
530	1620	1431
531	1623	1428
532	1626	1425
533	1630	1422
534	1632	1419
535	1636	1416
536	1639	1413
537	1642	1410
538	1645	1407
539	1648	1404
540	1651	1401
541	1654	1398
542	1657	1395
543	1661	1392
544	1664	1389
545	1667	1386
546	1670	1383
547	1673	1380
548	1677	1377
549	1680	1375
550	1683	1372
551	1686	1369
552	1689	1365
553	1692	1362
554	1695	1359
555	1698	1356
556	1702	1353
557	1705	1350
558	1708	1347
559	1711	1344
560	1714	1341
561	1717	1338
562	1720	1335
563	1723	1332
564	1726	1329
565	1729	1326
566	1732	1323
567	1735	1320
568	1738	1317
569	1741	1313
570	1744	1310
571	1747	1307
572	1750	1304
573	1753	1301
574	1756	1298
575	1759	1295
576	1763	1292
577	1766	1289
578	1769	1286
579	1772	1283
580	1775	1280
581	1778	1277
582	1781	1274
583	1784	1271
584	1787	1268
585	1790	1265
586	1793	1262
587	1796	1259
588	1800	1256
589	1802	1252
590	1806	1249
591	1809	1246
592	1812	1243
593	1814	1240
594	1817	1237
595	1820	1234
596	1823	1231
597	1826	1227
598	1829	1224
599	1832	1221
600	1835	1218
601	1838	1215
602	1841	1212
603	1844	1209
604	1847	1206
605	1851	1203
606	1854	1200
607	1857	1197
608	1860	1194
609	1863	1191
610	1866	1188
611	1869	1185
612	1872	1182
613	1875	1178
614	1878	1175
615	1881	1172
616	1884	1169
617	1887	1166
618	1890	1163
619	1893	1160
620	1896	1157
621	1899	1154
622	1902	1151
623	1905	1148
624	1908	1145
625	1911	1142
626	1914	1139
627	1917	1136
628	1920	1132
629	1923	1129
630	1926	1126
631	1929	1123
632	1932	1120
633	1935	1117
634	1938	1114
635	1941	1111
636	1944	1108
637	1947	1105
638	1950	1101
639	1953	1098
640	1956	1095
641	1959	1092
642	1962	1089
643	1965	1086
644	1968	1083
645	1971	1080
646	1974	1077
647	1977	1074
648	1982	1072
649	1986	1069
650	1990	1066
651	1993	1064
652	1997	1061
653	2000	1058
654	2003	1055
655	2006	1052
656	2009	1049
657	2013	1046
658	2018	1044
659	2022	1041
660	2026	1039
661	2030	1036
662	2033	1033
663	2036	1030
664	2039	1027
665	2042	1024
666	2045	1021
667	2049	1018
668	2054	1016
669	2059	1014
670	2063	1011
671	2067	1009
672	2070	1006
673	2073	1003
674	2077	1000
675	2080	996
676	2083	993
677	2086	990
678	2089	987
679	2092	984
680	2095	981
681	2098	978
682	2101	975
683	2104	972
684	2107	969
685	2110	965
686	2113	962
687	2116	959
688	2119	956
689	2122	953
690	2125	950
691	2127	947
692	2130	943
693	2133	940
694	2136	937
695	2139	934
696	2142	931
697	2145	928
698	2148	925
699	2151	921
700	2155	919
701	2159	916
702	2163	914
703	2168	911
704	2172	909
705	2176	906
706	2181	904
707	2185	901
708	2190	898
709	2193	896
710	2196	893
711	2200	889
712	2203	886
713	2206	883
714	2209	880
715	2212	877
716	2215	874
717	2218	871
718	2221	868
719	2224	865
720	2227	861
721	2230	858
722	2233	855
723	2236	852
724	2239	849
725	2241	846
726	2245	843
727	2248	839
728	2251	836
729	2253	833
730	2257	830
731	2260	827
732	2263	824
733	2266	821
734	2269	818
735	2271	814
736	2275	811
737	2278	808
738	2280	805
739	2283	802
740	2287	799
741	2289	796
742	2292	793
743	2295	790
744	2298	786
745	2301	783
746	2305	780
747	2308	777
748	2311	774
749	2315	771
750	2319	768
751	2322	766
752	2326	763
753	2330	760
754	2333	757
755	2336	754
756	2340	751
757	2343	748
758	2346	744
759	2349	742
760	2352	738
761	2355	735
762	2358	732
763	2361	729
764	2364	726
765	2367	723
766	2370	720
767	2373	717
768	2376	713
769	2379	710
770	2382	707
771	2385	704
772	2388	701
773	2391	698
774	2394	695
775	2397	692
776	2400	688
777	2403	685
778	2406	682
779	2409	679
780	2412	676
781	2415	673
782	2418	670
783	2421	667
784	2424	664
785	2427	661
786	2430	657
787	2433	654
788	2436	651
789	2439	648
790	2442	645
791	2445	642
792	2448	639
793	2452	636
794	2455	633
795	2458	630
796	2461	626
797	2464	623
798	2467	620
799	2470	617
800	2473	614
801	2476	611
802	2479	608
803	2482	605
804	2485	602
805	2488	599
806	2492	596
807	2495	592
808	2498	589
809	2501	586
810	2504	583
811	2507	580
812	2510	577
813	2513	574
814	2516	571
815	2519	568
816	2522	565
817	2525	561
818	2529	558
819	2532	555
820	2535	552
821	2538	549
822	2541	546
823	2544	543
824	2547	540
825	2550	537
826	2553	534
827	2556	531
828	2559	527
829	2562	524
830	2565	521
831	2568	518
832	2571	515
833	2575	512
834	2578	509
835	2581	506
836	2584	503
837	2587	500
838	2590	497
839	2593	494
840	2596	490
841	2600	487
842	2603	484
843	2605	481
844	2608	478
845	2612	475
846	2615	472
847	2618	469
848	2621	466
849	2624	463
850	2627	460
851	2630	456
852	2633	453
853	2635	450
854	2638	447
855	2641	444
856	2644	441
857	2647	438
858	2650	435
859	2653	431
860	2656	428
861	2659	425
862	2662	422
863	2665	419
864	2668	416
865	2672	413
866	2675	410
867	2678	407
868	2681	404
869	2684	401
870	2687	398
871	2690	394
872	2693	391
873	2696	388
874	2699	385
875	2702	382
876	2705	379
877	2707	376
878	2710	373
879	2713	370
880	2716	366
881	2719	363
882	2722	360
883	2725	357
884	2728	354
885	2731	351
886	2734	348
887	2737	345
888	2740	342
889	2743	339
890	2746	336
891	2749	332
892	2752	329
893	2755	326
894	2758	323
895	2761	320
896	2764	317
897	2767	314
898	2770	311
899	2772	308
900	2775	305
901	2778	301
902	2781	298
903	2784	295
904	2787	292
905	2790	289
906	2793	286
907	2796	283
908	2799	280
909	2802	277
910	2805	274
911	2808	270
912	2811	267
913	2814	264
914	2817	261
915	2820	258
916	2823	255
917	2826	252
918	2829	249
919	2832	246
920	2835	243
921	2838	240
922	2841	237
923	2844	233
924	2846	230
925	2849	227
926	2852	224
927	2855	221
928	2858	218
929	2861	215
930	2864	212
931	2867	209
932	2870	206
933	2872	203
934	2875	199
935	2878	196
936	2881	193
937	2884	190
938	2887	187
939	2890	184
940	2893	181
941	2896	178
942	2899	175
943	2902	172
944	2904	169
945	2907	165
946	2910	162
947	2913	159
948	2916	156
949	2919	153
950	2922	150
951	2925	147
952	2929	144
953	2931	141
954	2934	138
955	2937	135
956	2940	132
957	2943	129
958	2946	125
959	2949	122
960	2951	119
961	2955	116
962	2958	113
963	2961	110
964	2963	107
965	2966	104
966	2969	101
967	2974	98
968	2977	95
969	2980	92
970	2983	89
971	2986	86
972	2988	82
973	2991	79
974	2994	76
975	2997	73
976	3000	70
977	3003	67
978	3006	64
979	3009	61
980	3012	58
981	3014	55
982	3017	52
983	3020	49
984	3023	46
985	3026	42
986	3029	39
987	3032	36
988	3035	33
989	3038	30
990	3041	27
991	3044	24
992	3046	21
993	3049	18
994	3052	15
995	3055	12
996	3058	9
997	3061	6
998	3063	3
999	3066	0
