iter	Logloss
0	0.678181287
1	0.6645459788
2	0.6509441799
3	0.6386595527
4	0.6272727713
5	0.6161283425
6	0.6062683971
7	0.5963510249
8	0.5866486239
9	0.578193154
10	0.5699571519
11	0.5620019582
12	0.5544976921
13	0.5477612522
14	0.5411431186
15	0.5348459189
16	0.5287832668
17	0.5236031169
18	0.5186860295
19	0.5143582421
20	0.5093201257
21	0.5048919165
22	0.5004222611
23	0.4962711153
24	0.4918788538
25	0.4884967168
26	0.4848780703
27	0.4814413448
28	0.4784016518
29	0.4751814591
30	0.4731716052
31	0.4705394175
32	0.4678876152
33	0.4657298744
34	0.4634674959
35	0.4611306504
36	0.459097356
37	0.4568470368
38	0.4549679799
39	0.4531585424
40	0.4514496729
41	0.4495816195
42	0.4475963844
43	0.4460438482
44	0.4446501198
45	0.4432762805
46	0.441849175
47	0.4404165101
48	0.438993613
49	0.437689546
50	0.4363767173
51	0.4353728806
52	0.4343260227
53	0.4333723794
54	0.432138213
55	0.4311552866
56	0.4299744951
57	0.4291073619
58	0.428117184
59	0.4272127072
60	0.4263957143
61	0.425650719
62	0.4247931256
63	0.4241090078
64	0.4233557408
65	0.4227612684
66	0.4219831276
67	0.4212089798
68	0.4205512523
69	0.4198622097
70	0.4192245474
71	0.418620573
72	0.4179515512
73	0.4173487768
74	0.4167349755
75	0.4162297432
76	0.4154928498
77	0.4147910294
78	0.4143989017
79	0.4138409559
80	0.4133778764
81	0.412939194
82	0.4124767511
83	0.4118873222
84	0.4114440585
85	0.4109838725
86	0.4105879666
87	0.410159522
88	0.4096503791
89	0.4093139071
90	0.4089744271
91	0.4085543921
92	0.4083394726
93	0.4079008135
94	0.4074882613
95	0.4070080411
96	0.4065502722
97	0.4061920968
98	0.4057991684
99	0.4054113832
100	0.4052874105
101	0.4049082576
102	0.4046163129
103	0.4043248495
104	0.4039973804
105	0.4036834218
106	0.40332549
107	0.4029562704
108	0.4025886699
109	0.4023445545
110	0.4020320397
111	0.4017353918
112	0.4014320015
113	0.4011272579
114	0.4008068339
115	0.40060751
116	0.4004515819
117	0.4002206803
118	0.3998361252
119	0.3995989279
120	0.3992895281
121	0.399055939
122	0.398814002
123	0.3985647617
124	0.398294445
125	0.3980712718
126	0.3978131334
127	0.3975461548
128	0.3972734221
129	0.3971179388
130	0.396929796
131	0.3966699771
132	0.3964500077
133	0.3961269683
134	0.3958410112
135	0.395622343
136	0.3954098045
137	0.395118474
138	0.3948857605
139	0.3947626096
140	0.3946476103
141	0.3944236904
142	0.3942162455
143	0.3939342107
144	0.3937919814
145	0.3936001652
146	0.3934041903
147	0.3932147084
148	0.3929626647
149	0.3927635265
150	0.3925986244
151	0.392350746
152	0.392120297
153	0.3919397068
154	0.3917622618
155	0.3916024349
156	0.3914051679
157	0.391166488
158	0.3909710786
159	0.3906680047
160	0.3904308288
161	0.3903103429
162	0.3901647916
163	0.3899829778
164	0.3897827451
165	0.3896744951
166	0.3895002396
167	0.3893330888
168	0.3891545272
169	0.3889930511
170	0.3888274446
171	0.3885616459
